adrenal gland;;;;;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);;;;;;;;;
heart;cardiac septum native cell (CL:2000022);myocardial endocrine cell of interventricular septum (CL:1000482);;;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);;;;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);myocardial endocrine cell of septal division of left branch of atrioventricular bundle (CL:1000375);;;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);;;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);transitional myocyte of anterior division of left branch of atrioventricular bundle (CL:1000368);;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);transitional myocyte of septal division of left branch of atrioventricular bundle (CL:1000369);;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);transitional myocyte of posterior division of left branch of atrioventricular bundle (CL:1000374);;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of right branch of atrioventricular bundle (CL:1000371);;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of atrial part of atrioventricular bundle (CL:1000372);;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of ventricular part of atrioventricular bundle (CL:1000373);;;;;;;
heart;ventricular cardiac muscle cell (CL:2000046);Purkinje myocyte of atrioventricular bundle (CL:1000484);;;;;;;;
immune organ;;;;;;;;;;
immune organ;lymph node macrophage (CL:0000868);;;;;;;;;
immune organ;thymocyte (CL:0000893);;;;;;;;;
immune organ;thymocyte (CL:0000893);immature single positive thymocyte (CL:0000805);;;;;;;;
immune organ;thymocyte (CL:0000893);double-positive, alpha-beta thymocyte (CL:0000809);;;;;;;;
immune organ;thymocyte (CL:0000893);double-positive, alpha-beta thymocyte (CL:0000809);resting double-positive thymocyte (CL:0002427);;;;;;;
immune organ;thymocyte (CL:0000893);double-positive, alpha-beta thymocyte (CL:0000809);double-positive blast (CL:0002428);;;;;;;
immune organ;thymocyte (CL:0000893);double-positive, alpha-beta thymocyte (CL:0000809);CD69-positive double-positive thymocyte (CL:0002429);;;;;;;
immune organ;thymocyte (CL:0000893);double-positive, alpha-beta thymocyte (CL:0000809);CD4-intermediate, CD8-positive double-positive thymocyte (CL:0002430);;;;;;;
